input,target,source
"sleep_avg_3=6.19 mood_avg_3=0.93 sleep_slope=0.074 mood_slope=-0.296 risk=62.57 trend=-0.112 user_text=My dad refuses to acknowledge my anxieties about going to parties, dinners, etc. Whenever I have an opinion it gets shut down. My mom and everyone else behaves likewise. For my father who heads a company, this is normal.","Low mood is the dominant concern in this window, so use gentle routines and supportive check-ins. <p>I'm sorry to hear that you are unable to get through to your parents.",counselchat_app_voice
sleep_avg_3=6.21 mood_avg_3=2.59 sleep_slope=0.263 mood_slope=0.266 risk=56.12 trend=-0.312 user_text=I'm a 40 year old male and having erection problems. Still have the desire for a woman. Awfully frustrated. Any suggestions? My Doc doesn't want to discuss it.,"Current pattern appears stable, with no major short-term disruption. <p>Hi there, first off I have to commend you for reaching out.",counselchat_app_voice
sleep_avg_3=4.88 mood_avg_3=2.46 sleep_slope=-0.014 mood_slope=-0.292 risk=64.60 trend=-0.158 user_text=My husband cheated on me and it hurt me very bad. It was a time when my health was poor. I'm have a hard time moving on.,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>How has your husband acted since then? Was he regretful? How did you find out? Did he confess? These are all things t.",counselchat_app_voice
sleep_avg_3=7.13 mood_avg_3=3.78 sleep_slope=0.232 mood_slope=0.274 risk=77.88 trend=0.085 user_text=I've been abused emotionally all of my life and for some reason I keep getting with men that I let emotionally abused me. How can I stop it? I know the mistakes that I've made in my life. I'm having a really hard time ge,"Current pattern appears stable, with no major short-term disruption. <p>I want to applaud you for taking this first step towards realizing that this is an issue and wanting to do something .",counselchat_app_voice
sleep_avg_3=5.22 mood_avg_3=3.60 sleep_slope=0.094 mood_slope=0.029 risk=38.57 trend=-0.083 user_text=I feel like I would be more comfortable as a girl even though I still like girls. I think I'm like a girl stuck in a guy body. I imagine myself as a girl too. I think this more because my friends say that if I was a girl,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>I understand that gender and/or sexual identity crises can be very difficult to navigate, although in today’s time I .",counselchat_app_voice
"sleep_avg_3=6.49 mood_avg_3=2.22 sleep_slope=0.225 mood_slope=-0.267 risk=70.70 trend=-0.244 user_text=I've have lived for sometime with depression but things have gotten a lot better, but why is it so hard to get over anxiety and social isolation?","Current pattern appears stable, with no major short-term disruption. <p>The best way to handle depression and anxiety is with a combination of appropriate medication given to you by a medic.",counselchat_app_voice
"sleep_avg_3=6.33 mood_avg_3=1.95 sleep_slope=-0.258 mood_slope=0.028 risk=77.27 trend=-0.196 user_text=Hello, I have a cousin in my family who has been making me feel belittled, insecure, and frustrated during her stay here in the city. I know she comes from a place of love, but she has always been short-fused and highly ","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Do you have a close friend or relative who's opinion you trust? Ask them for their honest feedback and if they see yo.",counselchat_app_voice
"sleep_avg_3=6.06 mood_avg_3=1.57 sleep_slope=0.114 mood_slope=0.005 risk=51.11 trend=0.036 user_text=I have a child with my baby mother. She works I take care of our young son. She says she is not cheating I have not found anything but she always putting me down, telling me to get out and telling me she doesn't love me,","Mood appears low right now, so keep the next step small and grounding. <p>It sounds like you are in a tough situation.",counselchat_app_voice
"sleep_avg_3=6.04 mood_avg_3=4.06 sleep_slope=-0.062 mood_slope=0.216 risk=63.46 trend=-0.278 user_text=Or how to send him somewhere that can help him, something like The Baker Act.","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>More information would be needed for me to accurately answer this question, such as your age, whether you live with y.",counselchat_app_voice
"sleep_avg_3=6.55 mood_avg_3=2.00 sleep_slope=-0.036 mood_slope=-0.144 risk=42.74 trend=0.003 user_text=In particular during family gatherings (such as funerals), where there are different customs.","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>I think the best thing you can do is be respectful of each family member's wishes.",counselchat_app_voice
"sleep_avg_3=4.23 mood_avg_3=3.88 sleep_slope=0.042 mood_slope=-0.060 risk=67.30 trend=-0.240 user_text=I don't know what's wrong with me. At times I can be really happy, excited, I'll talk fast, and I want to do things. But lately I've been staying up way later and sleeping too much. I don't hang out with friends, I don't","Sleep remains below target, so start with one practical sleep-support action today. <p>I'm sorry to hear that you are feeling as if you're in a slump.",counselchat_app_voice
sleep_avg_3=6.16 mood_avg_3=3.47 sleep_slope=0.042 mood_slope=-0.024 risk=39.12 trend=-0.262 user_text=I'm worried I should see a therapist due to past events and current mental status. I'm just so unsure of how to ask my doctor about seeing someone.,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Thanks for your question.",counselchat_app_voice
sleep_avg_3=5.25 mood_avg_3=3.22 sleep_slope=0.298 mood_slope=0.171 risk=68.70 trend=-0.181 user_text=I feel like my time is going too fast,"Current pattern appears stable, with no major short-term disruption. <p>Thank you for reaching out! That is a great question! As an American, I can truly say that I spend way too much time .",counselchat_app_voice
sleep_avg_3=5.90 mood_avg_3=3.91 sleep_slope=0.284 mood_slope=-0.123 risk=63.96 trend=0.283 user_text=I'm worried I should see a therapist due to past events and current mental status. I'm just so unsure of how to ask my doctor about seeing someone.,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Having this kind of conversation with a doctor can feel difficult.",counselchat_app_voice
"sleep_avg_3=6.59 mood_avg_3=3.57 sleep_slope=-0.121 mood_slope=-0.077 risk=46.63 trend=-0.141 user_text=My last relationships have ended horribly. They just up and abandoned me. One of them I have never gotten closure with over it, leaving me emotionally wrecked. I know something's wrong with me but I don't know how to eve","Current pattern appears stable, with no major short-term disruption. <p>Frequently when working with clients, I utilize the A-B-C model developed by Albert Ellis, the founder of Rational Em.",counselchat_app_voice
sleep_avg_3=5.79 mood_avg_3=3.80 sleep_slope=-0.145 mood_slope=-0.192 risk=77.09 trend=-0.154 user_text=I haven't uttered one word to my boyfriend in days. Now I'm over it and don't know how to approach the situation?,"Current pattern appears stable, with no major short-term disruption. <p>In any relationship, it is important to be able to say &#34;I'm sorry&#34; because it shows vulnerability and opennes.",counselchat_app_voice
"sleep_avg_3=5.43 mood_avg_3=2.98 sleep_slope=0.050 mood_slope=-0.097 risk=62.24 trend=-0.032 user_text=I've been with my boyfriend over 3 years. He cheated on me and the woman is now pregnant. He is physically and mentally abusive towards me. I have attempted to talk with him in order to resolve our issues; however, he ne","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>That sounds like a very hurtful situation.",counselchat_app_voice
sleep_avg_3=4.89 mood_avg_3=3.80 sleep_slope=-0.073 mood_slope=0.024 risk=43.27 trend=0.129 user_text=I started dating a guy I met online. He told me that he registered sex offender but he didn't do anything. He took a plea to always register as sex offender and he did two years. That was more than two decades ago. Nothi,"Current pattern appears stable, with no major short-term disruption. <p>Thank you for your question.",counselchat_app_voice
"sleep_avg_3=6.35 mood_avg_3=3.44 sleep_slope=-0.135 mood_slope=-0.101 risk=76.61 trend=0.033 user_text=About 3 years ago or so I was skinny, but I was still ugly. I really do want to change that but I've tried 3 times. Now can I try but don't stop. At school I get bullied about my weight and my ugliness and I have been bu","Current pattern appears stable, with no major short-term disruption. <p>Hey! I am so impressed with your efforts to ask questions, to figure out how to change the messages that you hear (an.",counselchat_app_voice
"sleep_avg_3=3.09 mood_avg_3=3.75 sleep_slope=-0.163 mood_slope=-0.010 risk=47.20 trend=-0.241 user_text=A few nights ago I talked to this girl I know about my self esteem issues for the first time. We talked for hours and she told me time and again that I was a great guy. She told me I was attractive, and have a great pers","Low sleep is the main concern right now, so prioritize rest structure and recovery habits. <p>Hey! It takes a lot of courage to share your feelings with someone! And it sounds like you have been lucky to meet so.",counselchat_app_voice
"sleep_avg_3=5.94 mood_avg_3=2.92 sleep_slope=-0.113 mood_slope=0.041 risk=62.97 trend=0.257 user_text=She cried because she lost all trust in me. Now I feel disgusting and like my heart just got stabbed, what do I do?","Current pattern appears stable, with no major short-term disruption. <p>Hey! Sounds like the part of you that knows the RIGHT thing to do won here! I am so proud of you for admitting that y.",counselchat_app_voice
"sleep_avg_3=6.48 mood_avg_3=3.31 sleep_slope=0.236 mood_slope=-0.315 risk=52.54 trend=-0.106 user_text=When having sex I think of other men and want other men all day long. Been married 3 years, together 14. What do you think?","Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Sustaining passion in marriage is tough stuff.",counselchat_app_voice
sleep_avg_3=5.25 mood_avg_3=2.66 sleep_slope=-0.216 mood_slope=0.030 risk=67.09 trend=-0.039 user_text=We make love once per month. Is it normal?,"Current pattern appears stable, with no major short-term disruption. <p>To begin with, what's normal for one couple isn't going to be normal for the next, every couple has their own normal .",counselchat_app_voice
"sleep_avg_3=6.22 mood_avg_3=3.47 sleep_slope=0.148 mood_slope=-0.017 risk=44.72 trend=0.143 user_text=In this argument my friends are all against me so I'm wondering if I'm exaggerating my feelings. I feel like I'm being attacked and that is making me blow things out of proportion and taking the role of the victim, when ","Current pattern appears stable, with no major short-term disruption. <p>Conflict is a tricky beast and shows up in <b>every</b> one of our relationships.",counselchat_app_voice
sleep_avg_3=6.45 mood_avg_3=1.22 sleep_slope=-0.110 mood_slope=0.016 risk=53.84 trend=0.019 user_text=I am always down and out. Could this be postpartum depression?,"Low mood is the dominant concern in this window, so use gentle routines and supportive check-ins. <p>Probably.",counselchat_app_voice
sleep_avg_3=5.81 mood_avg_3=3.66 sleep_slope=0.291 mood_slope=-0.064 risk=35.26 trend=0.008 user_text=I am married to a beautiful lady. I love my wife with all my heart. We have 3 boys and I have a daughter from a previous marriage. We also have 3 grandchildren. Now this event is tearing us apart. I want our family to be,"Current pattern appears stable, with no major short-term disruption. <p>If your wife is willing, seek out a qualified couples therapist! Look for one trained in the Gottman Method or Emotio.",counselchat_app_voice
sleep_avg_3=6.93 mood_avg_3=4.12 sleep_slope=0.283 mood_slope=-0.193 risk=76.79 trend=0.161 user_text=We do communicate but one of us has trouble accepting what the other person says. How can I fix things?,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Being able to accept your partner's influence is a key relationship skill.",counselchat_app_voice
"sleep_avg_3=4.29 mood_avg_3=3.78 sleep_slope=-0.224 mood_slope=-0.131 risk=76.13 trend=-0.232 user_text=My wife and I are newly married, about 2 months. We've had some issues surrounding sex, particularly her lack of libido. She's on an anxiety medication, of which diminished libido is a side effect, but I think our issue ","Sleep remains below target, so start with one practical sleep-support action today. <p>You are newly married, you Have a hectic schedule, your wife is on anti anxiety medication.",counselchat_app_voice
"sleep_avg_3=4.29 mood_avg_3=1.06 sleep_slope=-0.660 mood_slope=-0.543 risk=96.72 trend=-0.477 user_text=I'm always told I'm not good enough or trying hard enough. I put 100% in to every thing. I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I ","High risk signals are present, so use safety-first pacing and seek support if symptoms escalate. <p>Hello, and let me say first, what a great question! </p><p>There are so many people putting forth their 100% everyday.",counselchat_app_voice
"sleep_avg_3=3.58 mood_avg_3=2.17 sleep_slope=-0.416 mood_slope=-0.243 risk=76.32 trend=-0.340 user_text=I'm always told I'm not good enough or trying hard enough. I put 100% in to every thing. I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I ","Current pattern suggests high risk, and close support is recommended in the near term. <p>The feeling of never feeling good enough usually stems from our early relationship with our parents or significant ro.",counselchat_app_voice
sleep_avg_3=4.81 mood_avg_3=2.18 sleep_slope=-0.256 mood_slope=0.032 risk=51.34 trend=-0.184 user_text=He's been losing feelings and he doesn't know why. I love him very very much. He sometimes thinks I'm obsessed when I'm not at all. I give him his space and I make sure he's okay but sometimes I think if me and him saw e,"Current pattern appears stable, with no major short-term disruption. <p>I'm willing to bet that this isn't what you are hoping to hear, but I'd suggest giving him space.",counselchat_app_voice
sleep_avg_3=6.40 mood_avg_3=3.80 sleep_slope=0.132 mood_slope=0.168 risk=38.22 trend=-0.238 user_text=I want a secure relationship with someone that wants to be with me and who will actually put effort into it. I seem to gravitate toward unavailable men and those that want intimacy and no relationship. I let men dictate ,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>You may be interested in reading my most recent post, <a href=""http://connectfulness.",counselchat_app_voice
sleep_avg_3=5.76 mood_avg_3=2.59 sleep_slope=-0.139 mood_slope=0.112 risk=72.40 trend=0.062 user_text=I regret ever hurting her and they mean the world to me. But it feels like nothing I do seem to work. I'll always love them no matter what and when I'm with them nothing else matters. I love them more then anything. I do,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>How you you expressed your regret and taken responsibility for the pain thus far? Repair is a very essential skill in.",counselchat_app_voice
sleep_avg_3=5.63 mood_avg_3=3.41 sleep_slope=0.301 mood_slope=-0.303 risk=72.97 trend=-0.206 user_text=I have dog obsession disorder and I am having problems with my girlfriend because I am placing more importance to my two dogs over her. How do I get over this problem and prioritize my girlfriend over my two dogs?,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Hey, dogs are cool.",counselchat_app_voice
sleep_avg_3=5.69 mood_avg_3=2.62 sleep_slope=0.207 mood_slope=0.071 risk=67.07 trend=0.265 user_text=I find myself lying about small everyday things that there is really no need to lie about. How do I figure out what triggers me to do this? And how do I help overcome this problem? I would like to become more honest and ,"Signals look stable right now, so continue a steady routine with one practical check-in step. <p>Well let's start with the awesome realization you've already had, you want to notice that you have triggers.",counselchat_app_voice
sleep_avg_3=5.13 mood_avg_3=2.25 sleep_slope=-0.185 mood_slope=-0.041 risk=48.94 trend=0.099 user_text=I've been like this ever since I was in school; back then I transferred to another school. Now I'm thinking about changing my job.,"Current pattern appears stable, with no major short-term disruption. <p>I recommend that you make a list of all the reasons you should change your life and all of the reasons you shouldn't .",counselchat_app_voice
